10, 70, 0.1, 0.1, 0.3, 0.8085882597309462, 373.1071219444275
10, 70, 0.2, 0.1, 0.3, 0.8020161175389052, 370.64363193511963
10, 70, 0.3, 0.1, 0.3, 0.7957413611075884, 370.4864089488983
10, 70, 0.4, 0.1, 0.3, 0.7897329878744759, 396.57753014564514
10, 70, 0.5, 0.1, 0.3, 0.7840632863661517, 399.4945569038391
10, 70, 0.6, 0.1, 0.3, 0.7789294380286629, 397.9588940143585
10, 70, 0.7, 0.1, 0.3, 0.7740688951044467, 399.5630168914795
10, 70, 0.8, 0.1, 0.3, 0.7694944956942299, 399.48119497299194
10, 70, 0.9, 0.1, 0.3, 0.7651353147564816, 398.97262382507324
10, 70, 1, 0.1, 0.3, 0.7611703441452864, 397.6643168926239
